row_type,group_name,ablation_mode,ablation_n,seed,haofang_precision,haofang_recall,haofang_f1,wanyue_precision,wanyue_recall,wanyue_f1,macro_f1,accuracy,TP,TN,FP,FN,unknown_cnt,n,seconds,haofang_precision_mean,haofang_precision_sd,haofang_precision_ci95_low,haofang_precision_ci95_high,haofang_precision_groups_n,haofang_recall_mean,haofang_recall_sd,haofang_recall_ci95_low,haofang_recall_ci95_high,haofang_recall_groups_n,haofang_f1_mean,haofang_f1_sd,haofang_f1_ci95_low,haofang_f1_ci95_high,haofang_f1_groups_n,wanyue_precision_mean,wanyue_precision_sd,wanyue_precision_ci95_low,wanyue_precision_ci95_high,wanyue_precision_groups_n,wanyue_recall_mean,wanyue_recall_sd,wanyue_recall_ci95_low,wanyue_recall_ci95_high,wanyue_recall_groups_n,wanyue_f1_mean,wanyue_f1_sd,wanyue_f1_ci95_low,wanyue_f1_ci95_high,wanyue_f1_groups_n,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_groups_n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,accuracy_groups_n,comparison,metric,t_stat,p_value,pairs_n
detail,group1,sequential_wanyue_csv,0,,0.9145299145299145,0.84251968503937,0.8770491803278688,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.8968579234972678,0.9006622516556292,107.0,165.0,10.0,20.0,0.0,302.0,21.14286208152771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,random,0,20260221.0,0.9145299145299145,0.84251968503937,0.8770491803278688,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.8968579234972678,0.9006622516556292,107.0,165.0,10.0,20.0,0.0,302.0,20.546608686447144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,sequential_wanyue_csv,200,,0.8541666666666666,0.6456692913385826,0.7354260089686098,0.8648648648648649,0.7314285714285714,0.7925696594427245,0.7639978342056671,0.804635761589404,82.0,161.0,14.0,45.0,58.0,302.0,77.7611563205719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,random,200,20260421.0,0.9298245614035088,0.8346456692913385,0.8796680497925311,0.8882978723404256,0.9542857142857143,0.9201101928374655,0.8998891213149983,0.9039735099337748,106.0,167.0,8.0,21.0,0.0,302.0,34.44473195075989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,sequential_wanyue_csv,250,,0.8383838383838383,0.6535433070866141,0.7345132743362831,0.86,0.7371428571428571,0.793846153846154,0.7641797140912185,0.8013245033112583,83.0,159.0,16.0,44.0,53.0,302.0,76.74795913696289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,random,250,20260471.0,0.9369369369369369,0.8188976377952756,0.8739495798319327,0.8795811518324608,0.96,0.9180327868852459,0.8959911833585893,0.9006622516556292,104.0,168.0,7.0,23.0,0.0,302.0,34.14845132827759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,sequential_wanyue_csv,300,,0.7580645161290323,0.7401574803149606,0.749003984063745,0.8807339449541285,0.5485714285714286,0.6760563380281691,0.7125301610459571,0.7913907284768212,94.0,145.0,30.0,33.0,69.0,302.0,75.36218166351318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,random,300,20260521.0,0.9203539823008849,0.8188976377952756,0.8666666666666667,0.8783068783068783,0.9485714285714286,0.9120879120879121,0.8893772893772893,0.8940397350993378,104.0,166.0,9.0,23.0,0.0,302.0,34.099613666534424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,sequential_wanyue_csv,350,,0.7889908256880734,0.6771653543307087,0.7288135593220338,0.813953488372093,0.4,0.5363984674329502,0.632606013377492,0.7880794701986755,86.0,152.0,23.0,41.0,107.0,302.0,76.309152841568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group1,random,350,20260571.0,0.8870967741935484,0.8661417322834646,0.8764940239043826,0.9044943820224719,0.92,0.9121813031161473,0.8943376635102649,0.8973509933774835,110.0,161.0,14.0,17.0,0.0,302.0,34.08943510055542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
