婉约与豪放,词内容
婉约,"思往事,轻衾各自寒。渡江干。青蛾低映越山看。共眠一舸听秋雨，小簟"
婉约,落花如梦凄迷，麝烟微，又是夕归潜下小楼西。愁无限，消瘦尽，有谁知？闲教玉笼鹦鹉念郎诗。
豪放,老夫聊发少年狂。左牵黄，右擎苍。锦帽貂裘，千骑卷平冈。为报倾城随太守，亲射虎，看孙郎。酒酣胸胆尚开张。鬓微霜，又何妨。持节云中，何日遣冯唐？会挽雕弓如满月，西北望，射天狼。
婉约,梧桐雨细，渐滴做秋声，被风惊碎。润逼衣篝，线袅蕙炉沉水。悠悠岁月天涯醉，一分秋，一分憔悴。紫萧吹断，素恨切，夜寒鸿起。又何苦凄凉客里，负草堂春绿，竹溪空翠。落叶西风，吹老几番尘世。从前谙尽江湖味，听商歌，归兴千里。露侵宿酒，疏帘淡月，照人无寐。
豪放,万里一飞蓬，吟老丹枫。潮生潮落海门东。三两点鸥沙外月，闲意谁同？一色与天通，绝去尘红。渔歌忽断荻花风。烟水自流心不竞，长笛霜空。
婉约,野店几杯空酒，醉里两眉长皱，已是不成眠，那更酒醒时候，知否，知否？直是为他消瘦。
婉约,折花枝，恨花枝，准拟花开人共卮，开时人去时。怕相思，已相思，轮到相思没处辞，眉间露一丝。
婉约,立春春已归来，看美人头上，袅袅春幡。无端风雨，未肯收尽余寒。年时燕子，料今宵、梦到西园。浑未辨，黄柑荐酒，更传青斐堆盘。却笑东风，从此便熏梅染柳，更没些闲。闲时又来镜里，转变朱颜。清愁不断，问何人、会解连环。生怕见，花开花落，朝来塞雁先还。
豪放,西塞山前白鹭飞，桃花流水鳜鱼肥。  青箸笠，绿蓑衣，斜风细雨不须归。
豪放,水天空阔，恨东风、不借世间英物。蜀鸟吴花残照里，忍见荒城颓壁。铜雀春情，金人秋泪，此恨凭谁雪？堂堂剑气，斗牛空认奇杰。那信江海余生，南行万里，属扁舟齐发，正为鸥盟留醉眼，细看涛生云灭。睨柱吞嬴，回旗走懿，千古冲冠发。伴人无寐，秦淮应是孤月。
婉约,人自怜春春未去，萱草石榴，也解留春住。只道送春无送处，山花落得红成路。高处莺啼低蝶舞。何况日长，燕子能言语。付与光相客主，晴云又卷西边雨。
婉约,离恨做成春夜雨，添得春江，刬地东流去。弱柳系船都不住，为君愁绝听鸣橹。君到南徐芳草渡，想得寻春，依旧当年路。后夜独怜回首处，乱山遮莫无重数。
婉约,无聊笑捻花枝说，处处鹃啼血。好花须映好楼台，休傍秦关蜀栈战场开。倚楼极目添愁绪，更对东风语：好风休簸战旗红，早送鲥鱼如雪过江东。
豪放,束缊宵行十里强。挑得诗囊，抛了衣囊。天寒路滑马蹄僵，元是王郎，来送刘郎。  酒酣耳热说文章。惊倒邻墙，推倒胡床。旁观拍手笑疏狂。疏又何妨，狂又何妨？
豪放,我志在寥阔，畴昔梦登天。摩娑素月，人世俯仰已千年。有客骖鸾并凤，云遇青山赤壁，相约上高寒。酌酒援北斗，我亦虱其间  少歌曰：“神甚放，形如眠。鸿鹄一再高举，天地睹方圆。”欲重歌兮梦觉，推枕惘然独念，人事底亏全？有美人可语，秋水隔婵娟。
婉约,好梦最难留，吹过仙洲，寻思依样到心头。去也无踪寻也惯，一桁红楼。中有话绸缪，灯火帘钩，是仙是幻是温柔。独自凄凉还自遣，自制离愁。
豪放,云间皓月。光照银淮来万折。海岱楼中。拂袖雄披楚岸风。  醉余清夜。羽扇纶巾人入画。江远淮长。举首宗英醒更狂。
