All,All_activation,100,100_activation
layer_27_neuron_2570,3097664.0,layer_27_neuron_2570,307621.15717000025
layer_26_neuron_2570,2213748.75,layer_26_neuron_2570,221908.10681300095
layer_25_neuron_2570,1836207.125,layer_25_neuron_2570,177777.46772799976
layer_24_neuron_2570,1377727.25,layer_24_neuron_2570,123948.3278580004
layer_23_neuron_2570,1099256.625,layer_28_neuron_128,107359.51732699988
layer_28_neuron_128,1083975.375,layer_28_neuron_344,97943.45405950012
layer_28_neuron_344,884048.4375,layer_23_neuron_2570,93802.431658
layer_22_neuron_2570,777515.0,layer_22_neuron_2570,63421.33278600014
layer_21_neuron_2570,607437.8125,layer_28_neuron_3312,53650.81052321007
layer_27_neuron_392,596418.875,layer_27_neuron_392,51669.37980949986
layer_26_neuron_392,582919.8125,layer_26_neuron_392,50778.212216499895
layer_28_neuron_3312,558399.625,layer_28_neuron_2591,48293.19661441999
layer_25_neuron_392,520014.84375,layer_21_neuron_2570,45868.98737450001
layer_23_neuron_458,494826.84375,layer_25_neuron_392,44313.52039749999
layer_28_neuron_2591,490925.1875,layer_27_neuron_458,44158.52654094587
layer_27_neuron_458,480459.3125,layer_23_neuron_458,40292.683103300034
layer_24_neuron_392,467461.34375,layer_24_neuron_392,38650.42451769995
layer_22_neuron_458,461309.34375,layer_22_neuron_458,37426.58536599998
layer_20_neuron_2570,431058.625,layer_28_neuron_3090,37293.754799140006
layer_21_neuron_458,424224.40625,layer_25_neuron_458,36440.86408058995
layer_24_neuron_458,423157.25,layer_24_neuron_458,34907.54829047009
layer_25_neuron_458,405544.96875,layer_28_neuron_37,33489.42469049002
layer_23_neuron_392,404053.71875,layer_21_neuron_458,33161.09364160005
layer_28_neuron_3090,374916.375,layer_26_neuron_458,33110.846316380004
layer_19_neuron_2570,354730.53125,layer_23_neuron_392,32998.43727179007
layer_26_neuron_458,350274.65625,layer_20_neuron_2570,32237.03326420003
layer_22_neuron_392,343299.78125,layer_22_neuron_392,27691.526014580053
layer_28_neuron_37,341000.40625,layer_28_neuron_3577,27556.422678084004
layer_20_neuron_458,332288.03125,layer_19_neuron_2570,27421.35851820001
layer_21_neuron_392,295466.625,layer_20_neuron_458,26188.950176199894
layer_19_neuron_458,294057.0,layer_19_neuron_458,24713.21050060004
layer_28_neuron_3577,276907.5,layer_28_neuron_1288,23729.042654520723
