metric,ablation_num,comparison,n_a,n_b,mean_a,mean_b,diff_mean,cohens_d,t_stat,p_value
hf_precision,200,haofang vs none(no_ablation),15,15,0.9384673115463077,0.9221059779312023,0.01636133361510539,2.5300082135250244,t(27)=6.93,0.0
hf_precision,200,haofang vs random,15,15,0.9384673115463077,0.9196727214787095,0.018794590067598205,2.894447164544128,t(27)=7.93,0.0
hf_precision,200,random vs none(no_ablation),15,15,0.9196727214787095,0.9221059779312023,-0.0024332564524928157,-0.42170872574093815,t(28)=-1.15,0.26
hf_precision,200,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.9307833638109587,0.9221059779312023,0.008677385879756416,0.9993029979155088,t(42)=3.74,0.0
hf_precision,200,targeted_combined(haofang+wanyue) vs random,30,15,0.9307833638109587,0.9196727214787095,0.011110642332249232,1.2776337042946586,t(42)=4.76,0.0
hf_precision,200,wanyue vs haofang,15,15,0.9230994160756099,0.9384673115463077,-0.015367895470697834,-2.5591684036574045,t(24)=-7.01,0.0
hf_precision,200,wanyue vs none(no_ablation),15,15,0.9230994160756099,0.9221059779312023,0.0009934381444075546,0.1905181735780006,t(27)=0.52,0.61
hf_precision,200,wanyue vs random,15,15,0.9230994160756099,0.9196727214787095,0.0034266945969003704,0.6530610305322643,t(27)=1.79,0.09
hf_precision,250,haofang vs none(no_ablation),15,15,0.9373460640452728,0.9221059779312023,0.015240086114070461,2.083846754862172,t(24)=5.71,0.0
hf_precision,250,haofang vs random,15,15,0.9373460640452728,0.9220842870475623,0.015261776997710474,2.1719803477161133,t(22)=5.95,0.0
hf_precision,250,random vs none(no_ablation),15,15,0.9220842870475623,0.9221059779312023,-2.1690883640013148e-05,-0.00403918861181959,t(27)=-0.01,0.99
hf_precision,250,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.9319168082215875,0.9221059779312023,0.009810830290385208,0.899642111997836,t(43)=3.57,0.0
hf_precision,250,targeted_combined(haofang+wanyue) vs random,30,15,0.9319168082215875,0.9220842870475623,0.009832521174025222,0.9119568655870555,t(41)=3.72,0.0
hf_precision,250,wanyue vs haofang,15,15,0.9264875523979025,0.9373460640452728,-0.010858511647370284,-0.9360201883139337,t(23)=-2.56,0.02
hf_precision,250,wanyue vs none(no_ablation),15,15,0.9264875523979025,0.9221059779312023,0.004381574466700178,0.4102985400704448,t(19)=1.12,0.28
hf_precision,250,wanyue vs random,15,15,0.9264875523979025,0.9220842870475623,0.004403265350340191,0.41997144052337676,t(17)=1.15,0.27
hf_precision,300,haofang vs none(no_ablation),15,15,0.9379813238426568,0.9221059779312023,0.015875345911454453,1.2917119445370624,t(17)=3.54,0.0
hf_precision,300,haofang vs random,15,15,0.9379813238426568,0.9198450704293528,0.018136253413303938,1.526443834617649,t(15)=4.18,0.0
hf_precision,300,random vs none(no_ablation),15,15,0.9198450704293528,0.9221059779312023,-0.002260907501849485,-0.4707208653146338,t(24)=-1.29,0.21
hf_precision,300,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.9305197118549959,0.9221059779312023,0.008413733923793631,0.6031420684726836,t(40)=2.50,0.02
hf_precision,300,targeted_combined(haofang+wanyue) vs random,30,15,0.9305197118549959,0.9198450704293528,0.010674641425643117,0.7781891376162472,t(34)=3.38,0.0
hf_precision,300,wanyue vs haofang,15,15,0.9230580998673349,0.9379813238426568,-0.014923223975321864,-0.9999628267424916,t(27)=-2.74,0.01
hf_precision,300,wanyue vs none(no_ablation),15,15,0.9230580998673349,0.9221059779312023,0.0009521219361325883,0.09308546964842736,t(19)=0.25,0.8
hf_precision,300,wanyue vs random,15,15,0.9230580998673349,0.9198450704293528,0.0032130294379820734,0.3301007136083306,t(16)=0.90,0.38
hf_precision,350,haofang vs none(no_ablation),15,15,0.8915709403921234,0.9221059779312023,-0.030535037539078935,-1.7105227949898234,t(16)=-4.68,0.0
hf_precision,350,haofang vs random,15,15,0.8915709403921234,0.9182248979239561,-0.02665395753183275,-1.4888498682289169,t(16)=-4.08,0.0
hf_precision,350,random vs none(no_ablation),15,15,0.9182248979239561,0.9221059779312023,-0.003881080007246185,-0.6581207009260105,t(28)=-1.80,0.08
hf_precision,350,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.9050158169530639,0.9221059779312023,-0.017090160978138424,-0.8117935830291751,t(35)=-3.52,0.0
hf_precision,350,targeted_combined(haofang+wanyue) vs random,30,15,0.9050158169530639,0.9182248979239561,-0.01320908097089224,-0.6265995137999245,t(35)=-2.71,0.01
hf_precision,350,wanyue vs haofang,15,15,0.9184606935140046,0.8915709403921234,0.026889753121881244,1.2397003202945647,t(26)=3.40,0.0
hf_precision,350,wanyue vs none(no_ablation),15,15,0.9184606935140046,0.9221059779312023,-0.0036452844171976917,-0.26818002032874616,t(17)=-0.73,0.47
hf_precision,350,wanyue vs random,15,15,0.9184606935140046,0.9182248979239561,0.00023579559004849315,0.017262127243990042,t(17)=0.05,0.96
wy_precision,200,haofang vs none(no_ablation),15,15,0.8549476709047975,0.865572103444278,-0.010624432539480533,-2.317153687626267,t(28)=-6.35,0.0
wy_precision,200,haofang vs random,15,15,0.8549476709047975,0.857559704642394,-0.002612033737596442,-0.5552833946067807,t(27)=-1.52,0.14
wy_precision,200,random vs none(no_ablation),15,15,0.857559704642394,0.865572103444278,-0.00801239880188409,-1.6067175381308003,t(28)=-4.40,0.0
wy_precision,200,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.8477663526789253,0.865572103444278,-0.017805750765352735,-2.2993581375481025,t(42)=-8.72,0.0
wy_precision,200,targeted_combined(haofang+wanyue) vs random,30,15,0.8477663526789253,0.857559704642394,-0.009793351963468644,-1.2571587310672478,t(42)=-4.72,0.0
wy_precision,200,wanyue vs haofang,15,15,0.840585034453053,0.8549476709047975,-0.014362636451744515,-2.8751767084946245,t(26)=-7.87,0.0
wy_precision,200,wanyue vs none(no_ablation),15,15,0.840585034453053,0.865572103444278,-0.024987068991225048,-4.748046628090897,t(27)=-13.00,0.0
wy_precision,200,wanyue vs random,15,15,0.840585034453053,0.857559704642394,-0.016974670189340957,-3.163103456817036,t(28)=-8.66,0.0
wy_precision,250,haofang vs none(no_ablation),15,15,0.8561480513693602,0.865572103444278,-0.00942405207491781,-1.7349300026652852,t(27)=-4.75,0.0
wy_precision,250,haofang vs random,15,15,0.8561480513693602,0.8465546841204425,0.009593367248917684,1.2279839115163322,t(24)=3.36,0.0
wy_precision,250,random vs none(no_ablation),15,15,0.8465546841204425,0.865572103444278,-0.019017419323835494,-2.55757067391332,t(21)=-7.00,0.0
wy_precision,250,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.85508583072647,0.865572103444278,-0.010486272717807998,-1.54512506764365,t(40)=-5.62,0.0
wy_precision,250,targeted_combined(haofang+wanyue) vs random,30,15,0.85508583072647,0.8465546841204425,0.008531146606027495,1.0454688197076234,t(23)=3.08,0.01
